"CMS Certification Number (CCN)",HHCAHPS Survey Summary Star Rating,HHCAHPS Survey Summary Star Rating Footnote,Star Rating for health team gave care in a professional way,Footnote for Star Rating for gave care in a professional way,Percent of patients who reported that their home health team gave care in a professional way,Footnote for Percent of patients who reported that their home health team gave care in a professional way,Star Rating for health team communicated well with them,Footnote for Star Rating for communicated well with them,Percent of patients who reported that their home health team communicated well with them,Footnote for Percent of patients who reported that their home health team communicated well with them,"Star Rating team discussed medicines, pain, and home safety","Footnote Star Rating discussed medicines, pain, home safety","Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them","Footnote for Percent of patients who reported that their home health team discussed medicines, pain, and home safety with them",Star Rating for how patients rated overall care from agency,Footnote for Star Rating for overall care from agency,"Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Footnote for Percent of patients who gave their home health agency a rating of 9 or 10 on a scale from 0(lowest) to 10(highest)","Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family","Footnote for Percent of patients who reported YES, they would definitely recommend the home health agency to friends and family",Number of completed Surveys,Footnote for number of completed surveys,Survey response rate,Footnote for Survey response rate,Footnote Number
017000,5,,4,,91,,4,,89,,5,,88,,5,,92,,85,,741,,22,,
017009,4,,4,,91,,3,,88,,4,,86,,4,,91,,84,,313,,34,,
017013,5,,5,,96,,5,,94,,5,,91,,5,,98,,92,,165,,27,,
017014,4,,4,,91,,3,,86,,4,,87,,3,,87,,81,,114,,23,,
017016,4,,4,,92,,4,,89,,5,,89,,4,,90,,87,,173,,26,,
017018,4,,4,,92,,4,,93,,4,,87,,4,,89,,90,,276,,24,,
017020,4,,5,,92,,4,,91,,4,,87,,4,,88,,82,,304,,23,,
017024,4,,4,,90,,3,,87,,4,,85,,3,,87,,84,,380,,27,,
017025,3,,4,,90,,2,,83,,3,,80,,4,,87,,84,,275,,22,,
017026,4,,4,,90,,4,,89,,4,,81,,4,,86,,81,,299,,23,,
017027,4,,4,,91,,4,,90,,4,,87,,4,,87,,84,,532,,27,,
017034,4,,4,,92,,4,,90,,4,,87,,4,,90,,83,,281,,24,,
017035,4,,4,,91,,3,,88,,4,,84,,4,,87,,82,,323,,20,,
017037,4,,3,,90,,3,,85,,4,,86,,4,,90,,80,,201,,22,,
017039,3,,3,,87,,3,,85,,3,,79,,2,,81,,77,,335,,19,,
017048,5,,5,,94,,5,,93,,5,,89,,4,,93,,92,,153,,31,,
017050,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017051,3,,3,,89,,3,,86,,3,,79,,3,,84,,78,,305,,21,,
017052,4,,4,,91,,4,,90,,4,,81,,4,,89,,81,,262,,28,,
017053,4,,4,,92,,4,,88,,4,,87,,4,,88,,86,,260,,30,,
017054,4,,3,,87,,4,,90,,4,,83,,3,,86,,82,,223,,19,,
017055,4,,4,,92,,4,,90,,4,,84,,4,,87,,82,,218,,25,,
017056,4,,4,,91,,4,,89,,3,,77,,3,,81,,81,,133,,16,,
017058,4,,4,,91,,4,,91,,4,,85,,4,,90,,88,,342,,26,,
017063,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,Not Available,12,12
017066,4,,4,,90,,3,,87,,5,,89,,3,,85,,80,,236,,25,,
017069,4,,5,,93,,4,,90,,4,,87,,4,,91,,87,,305,,29,,
017070,5,,5,,93,,5,,94,,5,,90,,5,,94,,88,,143,,26,,
017071,4,,4,,93,,4,,91,,4,,85,,4,,90,,88,,284,,25,,
017072,4,,4,,92,,4,,90,,5,,89,,4,,87,,84,,105,,27,,
017078,5,,4,,92,,4,,90,,5,,90,,5,,89,,87,,131,,26,,
017079,5,,5,,97,,5,,96,,5,,91,,5,,99,,91,,80,,33,,
017080,4,,4,,92,,4,,90,,5,,88,,4,,92,,84,,288,,23,,
017082,3,,3,,86,,3,,84,,4,,81,,3,,84,,75,,368,,18,,
017084,4,,4,,90,,4,,89,,4,,87,,3,,86,,84,,119,,24,,
017085,4,,4,,90,,3,,88,,4,,86,,3,,83,,82,,174,,26,,
017086,5,,5,,94,,5,,92,,5,,90,,4,,84,,84,,72,,26,,
017088,5,,5,,93,,4,,90,,5,,88,,5,,95,,91,,104,,29,,
017089,4,,4,,92,,4,,90,,4,,86,,4,,93,,82,,232,,33,,
017090,5,,5,,94,,4,,91,,5,,88,,4,,88,,84,,111,,23,,
017091,4,,4,,91,,3,,89,,4,,86,,4,,92,,85,,143,,59,,
017092,4,11,3,11,88,11,3,11,84,11,5,11,92,11,5,11,95,11,87,11,46,11,31,11,11
017093,4,,5,,92,,4,,93,,4,,86,,4,,92,,82,,141,,29,,
017094,4,,4,,92,,4,,92,,4,,87,,4,,90,,92,,162,,34,,
017095,3,,4,,89,,3,,86,,4,,82,,2,,79,,77,,172,,27,,
017096,4,,4,,90,,4,,86,,4,,83,,3,,84,,81,,113,,21,,
017097,5,,5,,93,,5,,94,,5,,93,,4,,93,,90,,100,,35,,
017100,4,11,4,11,92,11,4,11,89,11,5,11,89,11,4,11,86,11,81,11,58,11,27,11,11
017103,Not Available,11,Not Available,11,100,11,Not Available,11,90,11,Not Available,11,83,11,Not Available,11,100,11,100,11,14,11,32,11,11
017104,5,,5,,98,,5,,93,,5,,93,,5,,93,,86,,125,,41,,
017106,Not Available,11,Not Available,11,98,11,Not Available,11,94,11,Not Available,11,96,11,Not Available,11,98,11,87,11,38,11,24,11,11
017107,5,,5,,94,,5,,92,,5,,93,,4,,91,,92,,182,,28,,
