State,CMS Certification Number (CCN),Provider Name,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,27001,1,1,99508,9075630130.0,1,1.0,1.0,1.0,1.0,1.0,1.0,705790800.0,4.5,96.7,42.2,86.7,92.3,94.6,100.0,99.6,15.1,12.0,0.0,87.7,1.7,99.6,609.0,715.0,85.17,91.71,88.92,94.22,2.0,16.0,398.0,4.02,3.8,2.82,5.2,1.0,44.0,395.0,11.14,10.13,7.91,13.02,1.0,0.89,1057.0
1,27002,2,2,99801,9074633113.0,1,1.0,1.0,1.0,1.0,1.0,1.0,725148000.0,2.0,91.9,56.1,59.4,63.8,60.2,49.5,56.6,8.2,19.9,2.6,97.0,2.1,99.0,98.0,152.0,64.47,70.02,62.39,77.61,1.0,3.0,64.0,4.69,3.93,2.75,5.8,1.0,3.0,73.0,4.11,7.12,4.26,11.48,1.0,0.86,346.0
1,27006,3,3,99701,9074585410.0,2,1.0,1.0,0.0,0.0,1.0,1.0,811285200.0,2.5,60.9,55.1,71.9,75.3,71.4,83.1,64.7,9.5,21.3,1.5,97.7,1.9,98.1,261.0,314.0,83.12,86.73,82.04,90.64,2.0,2.0,154.0,1.3,3.51,2.36,5.0,1.0,9.0,156.0,5.77,7.97,5.08,12.17,1.0,0.79,464.0
1,27008,4,4,99654,9073524800.0,3,1.0,1.0,1.0,1.0,1.0,1.0,853624800.0,3.5,98.1,52.2,84.7,88.5,87.2,86.1,89.7,15.1,13.9,0.0,99.7,1.5,100.0,1233.0,1567.0,78.69,85.48,83.11,87.64,2.0,32.0,686.0,4.66,4.28,3.35,5.42,1.0,73.0,855.0,8.54,8.6,6.99,10.49,1.0,0.9,2011.0
1,27010,5,5,99603,9072350369.0,4,1.0,1.0,1.0,1.0,1.0,1.0,950824800.0,2.0,96.5,44.6,72.3,72.6,72.3,55.4,62.7,16.8,13.2,0.0,95.1,0.0,98.6,155.0,239.0,64.85,71.28,65.16,77.45,1.0,3.0,112.0,2.68,3.85,2.6,5.9,1.0,10.0,107.0,9.35,9.55,5.94,14.64,1.0,1.14,294.0
1,27014,6,6,99901,9072287600.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1046556000.0,3.5,76.7,64.3,86.3,85.6,93.6,85.7,95.1,12.0,26.4,0.0,96.8,0.9,99.5,201.0,288.0,69.79,74.93,69.37,80.07,1.0,2.0,118.0,1.69,3.54,2.49,5.15,1.0,13.0,139.0,9.35,9.79,6.69,14.44,1.0,1.04,365.0
1,27020,7,7,99669,9072605959.0,3,1.0,1.0,1.0,1.0,1.0,0.0,1135893600.0,4.0,99.4,32.7,89.1,98.0,99.5,74.2,85.5,9.7,28.4,0.0,89.6,1.7,92.5,189.0,278.0,67.99,74.22,68.1,79.86,1.0,5.0,129.0,3.88,3.81,2.72,5.06,1.0,9.0,71.0,12.68,10.69,6.92,15.96,1.0,0.91,527.0
1,27022,8,1,99503,9072721275.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1146776400.0,3.0,87.1,66.5,82.7,85.7,82.1,85.5,83.4,20.1,9.1,0.4,97.8,1.3,98.7,292.0,360.0,81.11,84.64,80.64,88.52,2.0,12.0,186.0,6.45,4.64,3.31,6.56,1.0,23.0,210.0,10.95,11.75,8.27,16.41,1.0,0.91,419.0
1,27034,9,1,99515,9078308548.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1770933600.0,2.5,72.6,78.9,81.0,97.4,85.0,59.0,61.8,13.6,15.1,1.4,91.0,0.7,0.0,374.0,483.0,77.43,83.62,79.85,87.16,2.0,15.0,357.0,4.2,3.95,2.95,5.31,1.0,30.0,251.0,11.95,11.2,8.54,14.9,1.0,0.89,713.0
1,27035,10,1,99518,9073503606.0,3,1.0,0.0,0.0,0.0,0.0,1.0,1767218400.0,2.5,98.8,73.6,52.0,73.0,62.6,58.3,58.2,7.4,14.1,0.5,96.4,1.2,100.0,216.0,296.0,72.97,80.93,75.09,85.77,1.0,11.0,197.0,5.58,4.14,3.04,5.69,1.0,8.0,121.0,6.61,7.09,4.75,10.43,1.0,0.9,458.0
1,27036,11,4,99654,9073573655.0,3,1.0,1.0,0.0,1.0,1.0,1.0,1810328400.0,2.0,65.4,35.6,60.1,70.1,61.7,61.8,62.8,7.7,18.0,0.0,70.6,0.9,98.2,156.0,217.0,71.89,75.22,67.89,81.24,1.0,6.0,96.0,6.25,4.21,2.91,6.24,1.0,11.0,81.0,13.58,11.39,7.46,16.47,1.0,0.9,437.0
1,27038,12,7,99669,9072604444.0,3,1.0,1.0,0.0,0.0,0.0,0.0,1908306000.0,2.5,99.0,58.6,74.5,77.8,70.9,58.5,73.1,15.2,15.4,0.4,82.5,0.8,100.0,313.0,492.0,63.62,68.27,63.87,72.41,0.0,6.0,177.0,3.39,3.85,2.71,5.34,1.0,29.0,277.0,10.47,11.01,7.89,15.18,1.0,0.94,591.0
<<<<<<< HEAD
