State,CMS Certification Number (CCN),Provider Name,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients got better at getting in and out of bed,How often patients got better at bathing,How often patients' breathing improved,How often patients got better at taking their drugs correctly by mouth,How often home health patients had to be admitted to the hospital,"How often patients receiving home health care needed urgent, unplanned care in the ER without being admitted",Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,Percent of Residents Experiencing One or More Falls with Major Injury,Application of Percent of Long Term Care Hospital Patients with an Admission and Discharge Functional Assessment and a Care Plan that Addresses Function,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)"
1,27001,1,1,99508,9075630130,1,Yes,Yes,Yes,Yes,Yes,Yes,705790800.0,4.5,96.7,42.2,86.7,92.3,94.6,100.0,99.6,15.1,12.0,0.0,87.7,1.7,99.6,609,715,85.17,91.71,88.92,94.22,Better Than National Rate,16,398,4.02,3.80,2.82,5.20,Same As National Rate,44,395,11.14,10.13,7.91,13.02,Same As National Rate,0.89,"1,057"
1,27002,2,2,99801,9074633113,1,Yes,Yes,Yes,Yes,Yes,Yes,725148000.0,2.0,91.9,56.1,59.4,63.8,60.2,49.5,56.6,8.2,19.9,2.6,97.0,2.1,99.0,98,152,64.47,70.02,62.39,77.61,Same As National Rate,3,64,4.69,3.93,2.75,5.80,Same As National Rate,3,73,4.11,7.12,4.26,11.48,Same As National Rate,0.86,346
1,27006,3,3,99701,9074585410,2,Yes,Yes,No,No,Yes,Yes,811285200.0,2.5,60.9,55.1,71.9,75.3,71.4,83.1,64.7,9.5,21.3,1.5,97.7,1.9,98.1,261,314,83.12,86.73,82.04,90.64,Better Than National Rate,2,154,1.30,3.51,2.36,5.00,Same As National Rate,9,156,5.77,7.97,5.08,12.17,Same As National Rate,0.79,464
1,27008,4,4,99654,9073524800,3,Yes,Yes,Yes,Yes,Yes,Yes,853624800.0,3.5,98.1,52.2,84.7,88.5,87.2,86.1,89.7,15.1,13.9,0.0,99.7,1.5,100.0,"1,233","1,567",78.69,85.48,83.11,87.64,Better Than National Rate,32,686,4.66,4.28,3.35,5.42,Same As National Rate,73,855,8.54,8.60,6.99,10.49,Same As National Rate,0.90,"2,011"
1,27010,5,5,99603,9072350369,4,Yes,Yes,Yes,Yes,Yes,Yes,950824800.0,2.0,96.5,44.6,72.3,72.6,72.3,55.4,62.7,16.8,13.2,0.0,95.1,0.0,98.6,155,239,64.85,71.28,65.16,77.45,Same As National Rate,3,112,2.68,3.85,2.60,5.90,Same As National Rate,10,107,9.35,9.55,5.94,14.64,Same As National Rate,1.14,294
1,27014,6,6,99901,9072287600,1,Yes,Yes,Yes,Yes,Yes,Yes,1046556000.0,3.5,76.7,64.3,86.3,85.6,93.6,85.7,95.1,12.0,26.4,0.0,96.8,0.9,99.5,201,288,69.79,74.93,69.37,80.07,Same As National Rate,2,118,1.69,3.54,2.49,5.15,Same As National Rate,13,139,9.35,9.79,6.69,14.44,Same As National Rate,1.04,365
1,27020,7,7,99669,9072605959,3,Yes,Yes,Yes,Yes,Yes,No,1135893600.0,4.0,99.4,32.7,89.1,98.0,99.5,74.2,85.5,9.7,28.4,0.0,89.6,1.7,92.5,189,278,67.99,74.22,68.10,79.86,Same As National Rate,5,129,3.88,3.81,2.72,5.06,Same As National Rate,9,71,12.68,10.69,6.92,15.96,Same As National Rate,0.91,527
1,27022,8,1,99503,9072721275,3,Yes,Yes,Yes,Yes,Yes,Yes,1146776400.0,3.0,87.1,66.5,82.7,85.7,82.1,85.5,83.4,20.1,9.1,0.4,97.8,1.3,98.7,292,360,81.11,84.64,80.64,88.52,Better Than National Rate,12,186,6.45,4.64,3.31,6.56,Same As National Rate,23,210,10.95,11.75,8.27,16.41,Same As National Rate,0.91,419
1,27034,9,1,99515,9078308548,5,Yes,Yes,Yes,Yes,Yes,Yes,1770933600.0,2.5,72.6,78.9,81.0,97.4,85.0,59.0,61.8,13.6,15.1,1.4,91.0,0.7,0.0,374,483,77.43,83.62,79.85,87.16,Better Than National Rate,15,357,4.20,3.95,2.95,5.31,Same As National Rate,30,251,11.95,11.20,8.54,14.90,Same As National Rate,0.89,713
1,27035,10,1,99518,9073503606,3,Yes,No,No,No,No,Yes,1767218400.0,2.5,98.8,73.6,52.0,73.0,62.6,58.3,58.2,7.4,14.1,0.5,96.4,1.2,100.0,216,296,72.97,80.93,75.09,85.77,Same As National Rate,11,197,5.58,4.14,3.04,5.69,Same As National Rate,8,121,6.61,7.09,4.75,10.43,Same As National Rate,0.90,458
